番号,難易度,問題文,回答,ボタン1,ボタン2,ボタン3,ボタン4,説明1,説明2,説明3,説明4
47,normal,最も寒さに強い動物はどれですか？,ホッキョクグマ,アザラシ,トナカイ,ペンギン,ホッキョクグマ,アザラシは寒さに強いですが、ホッキョクグマほどではありません。,トナカイは寒さに強いですが、ホッキョクグマほどではありません。,ペンギンは寒さに強いですが、ホッキョクグマほどではありません。,ホッキョクグマは氷点下 40 度以下の環境でも生きることができます。
48,normal,最も大きな飛べる鳥はどれですか？,コンドル,アホウドリ,ダチョウ,コウノトリ,コンドル,アホウドリは翼を広げると2メートル以上あるようですが、3メートル以上あるコンドルよりは小さいです。,ダチョウは最も大きな鳥ですが、飛ぶことができません。飛べる大きな鳥は、コンドルになります。,コウノトリは翼を広げると約 2.5 メートルになります。しかし、コンドルは3メートル以上もあるのでかないません。,コンドルは翼を広げると最大で 3 メートル以上にもなります。
49,hard,唯一の有袋類で、アメリカ大陸に生息する動物はどれですか？,オポッサム,カンガルー,オポッサム,コアラ,タスマニアデビル,カンガルーは有袋類ですが、オーストラリアに生息します。,オポッサムは唯一の有袋類で、アメリカ大陸に生息します。,コアラも有袋類ですが、オーストラリアに生息します。,タスマニアデビルは有袋類ですが、タスマニアに生息します。
50,hard,最も遠くまで声が届く動物はどれですか？,クジラ,トラ,オオカミ,クジラ,ヒト,トラの吠え声は約 3 キロメートルまで届きます。しかし、クジラの声は水中で数百キロメートル先まで届くのでかないませんね。,オオカミの遠吠えは遠くまで届きますが、クジラの声は水中で数百キロメートル先まで届くのでかないませんね。,クジラの声は水中で数百キロメートル先まで届くことがあります。,ヒトの声は遠くまで届きますが、クジラの声は水中で数百キロメートル先まで届くのでかないませんね。
51,hard,唯一の毒を持つ鳥はどれですか？,ホウセキドリ,キウイ,ホウセキドリ,カササギ,フクロウ,キウイは毒を持ちません。,ホウセキドリは唯一の毒を持つ鳥で、その羽毛に神経毒があります。,カササギは毒を持ちません。,フクロウは毒を持ちません。
52,easy,最も深く潜ることができる哺乳類はどれですか？,クジラ,カワウソ,イルカ,クジラ,アザラシ,カワウソは浅い水域で生活します。なので、クジラのように深く潜ることはありません。,イルカは深く潜りますが、クジラほどではありません。,クジラ、特にマッコウクジラは 3000 メートル以上の深さまで潜ることができます。,アザラシは深く潜りますが、クジラほどではありません。
53,hard,最も高い木を登ることができる哺乳類はどれですか？,オランウータン,コアラ,パンダ,サル,オランウータン,コアラは木に登ることができますが、オランウータンほど高くは登りません。,パンダは木に登ることができますが、オランウータンほど高くは登りません。,サルも木に登りますが、オランウータンほど高くは登りません。,オランウータンは非常に高い木に登ることができます。
54,easy,最も強い噛む力を持つ動物はどれですか？,ナイルワニ,ヒョウ,ナイルワニ,ライオン,トラ,ヒョウも強い噛む力を持っていますが、ワニほどではありません。,ナイルワニは最も強い噛む力を持ち、その力は約 5000ポンドに達します。,ライオンは強い噛む力を持っていますが、ワニほどではありません。,トラも強い噛む力を持っていますが、ワニほどではありません。
55,hard,最も長い距離を移動する哺乳類はどれですか？,クジラ,ヒト,トナカイ,カリブー,クジラ,ヒトは長距離を移動することができますが、クジラほどではありません。,トナカイは毎年数千キロメートルを移動しますが、クジラほどではありません。,カリブーは毎年数千キロメートルを移動しますが、クジラほどではありません。,クジラ、特にザトウクジラは年間約 8000 キロメートルを移動します。
56,normal,最も大きな目を持つ動物はどれですか？,イカ,イカ,フクロウ,クジラ,ゾウ,イカの目は直径約 30 センチメートルに達します。,フクロウは大きな目を持っていますが、イカほどではありません。,クジラは大きな目を持っていますが、イカほどではありません。,ゾウは大きな目を持っていますが、イカほどではありません。
57,easy,最も音に敏感な動物はどれですか？,コウモリ,ウサギ,イヌ,コウモリ,ネコ,ウサギは非常に敏感な耳を持っていますが、コウモリほどではありません。,イヌは非常に敏感な耳を持っていますが、コウモリほどではありません。,コウモリはエコーロケーションを使用して音を非常に敏感に感じ取ります。,ネコは非常に敏感な耳を持っていますが、コウモリほどではありません。
58,hard,最も高く飛ぶことができる鳥はどれですか？,オオアマサギ,ハクトウワシ,オオアマサギ,ツバメ,ペリカン,ハクトウワシは高く飛ぶことができますが、オオアマサギほどではありません。,オアマサギは飛行高度が最大で 1 万メートルに達することがあります。,ツバメは高く飛ぶことができますが、オオアマサギほどではありません。,ペリカンは高く飛ぶことができますが、オオアマサギほどではありません。
59,easy,最も多くの種類の花粉を運ぶことができる動物はどれですか？,ハチ,ハチ,チョウ,コウモリ,ハチドリ,ハチは多くの種類の花粉を運び、植物の受粉に重要な役割を果たします。,チョウも花粉を運びますが、ハチほど多くの種類の花粉を運びません。,コウモリも花粉を運びますが、ハチほど多くの 種類の花粉を運びません。,ハチドリも花粉を運びますが、ハチほど多くの種類の花粉を運びません。
60,normal,最も小さな哺乳類はどれですか？,トガリネズミ,ハムスター,ネズミ,ウサギ,トガリネズミ,ハムスターは小さな哺乳類ですが、トガリネズミほど小さくはありません。,ネズミは小さな哺乳類ですが、トガリネズミほど小さくはありません。,ウサギは小さな哺乳類ですが、トガリネズミほど小さくはありません。,トガリネズミは最も小さな哺乳類で、体長は約 5 センチメートルです。
61,hard,唯一の毒を持つ哺乳類はどれですか？,カモノハシ,ハリネズミ,カモノハシ,ウサギ,モグラ,ハリネズミは毒を持ちません。,カモノハシのオスは後肢に毒針を持ちます。,ウサギは毒を持ちません。,モグラは毒を持ちません。
62,hard,最も大きなカエルはどれですか？,ゴライアスガエル,ツノガエル,アマガエル,ゴライアスガエル,ウシガエル,ツノガエルは大きなカエルですが、ゴライアスガエルほどではありません。,アマガエルは小さなカエルです。,ゴライアスガエルは最大で体長 30 センチメートル、体重 3 キログラムになります。,ウシガエルは大きなカエルですが、ゴライアスガエルほどではありません。
63,easy,最も高く飛び跳ねる昆虫はどれですか？,バッタ,バッタ,コオロギ,ゴキブリ,アリ,バッタは自身の体長の数倍の高さまで飛び跳ねることができます。,コオロギは高く飛び跳ねますが、バッタほどではありません。,ゴキブリは飛び跳ねることができますが、バッタほどではありません。,アリは高く飛び跳ねることはできません。
64,easy,最も多くの種類の植物を食べる動物はどれですか？,ヤギ,パンダ,ゴリラ,ヤギ,ゾウ,パンダは竹を主食としていますが、他の植物も食べます。しかし、ヤギほどではありません。,ゴリラは多くの種類の植物を食べますが、ヤギほどではありません。,ヤギは非常に多くの種類の植物を食べることができます。,ゾウは多くの種類の植物を食べますが、ヤギほどではありません。
65,easy,最も強い握力を持つ動物はどれですか？,ゴリラ,チンパンジー,オランウータン,ヒト,ゴリラ,チンパンジーも強い握力を持っていますが、ゴリラほどではありません。,オランウータンも強い握力を持っていますが、ゴリラほどではありません。,ヒトの握力はゴリラほど強くありません。,ゴリラの握力は最大で約 500 キログラムに達します。
66,normal,最も長く生きる魚はどれですか？,コイ,ヒラメ,コイ,サメ,マグロ,ヒラメも10～20年生きるようですが、コイほど長生きではありません。,コイは 100 年以上生きることがあります。,サメは長寿の魚ですが、コイほどではありません。,マグロは長寿の魚ですが、コイほどではありません。
67,easy,最も速く空を飛ぶ鳥はどれですか？,ハヤブサ,ハト,ツバメ,スズメ,ハヤブサ,ハトは速く飛びますが、ハヤブサほどではありません。,ツバメは速く飛びますが、ハヤブサほどではありません。,スズメは速く飛びますが、ハヤブサほどではありません。,ハヤブサは急降下時に時速 300 キロメートル以上で飛ぶことができます。
68,hard,次の動物の中で、最も高くジャンプすることができるのはどれでしょう？,リス,リス,カラス,ネズミ,ウサギ,リスは非常に高くジャンプすることができます。大人のリスの場合、軽く２メートルは跳ぶことができるようです。,カラスは飛ぶことができますが、ジャンプするのは高くありません。リスほど高くジャンプしません。,ネズミは高くジャンプすることができますが、リスほどではありません。,ウサギは高くジャンプすることができますが、リスほどではありません。
69,hard,最も小さな鳥はどれですか？,ハチドリ,スズメ,ハチドリ,カナリア,ツバメ,スズメは小さな鳥ですが、ハチドリほどではありません。,ハチドリは世界で最も小さな鳥で、その体長は約 5 センチメートルです。,カナリアは小さな鳥ですが、ハチドリほどではありません。,ツバメは小さな鳥ですが、ハチドリほどではありませ ん。
70,easy,最も長い舌を持つ哺乳類はどれですか？,アリクイ,クマ,キリン,アリクイ,ライオン,クマの舌は約 25 センチメートルです。しかし、アリクイの舌は約 60 センチメートルにもなるのでかないません。,キリンの舌は約 45 センチメートルです。しかし、アリクイの舌は約 60 センチメートルにもなるのでかないません。,アリクイの舌は約 60 センチメートルにもなります。,ライオンの舌は約 15 センチメートルです。しかし、アリクイの舌は約 60 センチメートルにもなるのでかないません。
71,easy,最も長い尾を持つ鳥はどれですか？,クジャク,ワシ,ハト,スズメ,クジャク,ワシの尾は長いですが、クジャクほどではありません。,ハトの尾は長いですが、クジャクほどではありません。,スズメの尾は長いですが、クジャクほどではありません。,クジャクの尾は最大で 2 メートルに達します。
72,hard,首の骨の数が最も多い動物はどれでしょうか？,ナマケモノ,ヒト,ナマケモノ,キリン,マナティ,ヒトの首の骨の数は、７本です。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。,ナマケモノも基本的には同じく首の骨の数は7本ですが、ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。,キリンはヒトよりも圧倒的に長い首を持っていますが、大きな骨7本で成り立っています。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本あるので、キリンの首の骨の数が多くないのです。,マナティの首の骨の数は、６本です。ナマケモノの1種である「ミユビナマケモノ」は、首の骨が9本ある珍しい体の作りとなっています。
73,hard,ゾウはなぜ鼻が長くなったでしょうか？,泳いでいる時に息継ぎがしやすいから,エサが食べやすいから,体が掻きやすくなるから,物を掴みやすいから,泳いでいる時に息継ぎがしやすいから,ゾウの鼻は、器用に動かしてエサを食べたりできますが、別の理由で鼻が長くなったといわれています。,ゾウの鼻は、器用に動かすことができるので、体も掻きやすいと思いますが、別の理由で鼻が長くなったといわれています。,ゾウの鼻は骨がなく、筋肉の塊のようなものなので、物も掴みやすいと思いますが、別の理由で鼻が長くなったといわれています。,ゾウは泳ぐのも得意な生き物であり、川を渡って移動することもあります。その際に、鼻をシュノーケルのように使うと息継ぎがしやすくなるため、徐々に長い鼻の生物に進化していったと言われています。
74,hard,動物は様々な模様を持っていますが、地肌の色と体の模様の色が同じとは限りません。では、地肌と体の模様の色が同じ動物はどれでしょうか？,牛,牛,シマウマ,キリン,クマ,牛の一種である「ホルスタイン」は地肌と体の模様が同じ色をしています。,シマウマの地肌は、灰色です。なので、地肌と体の模様の色が同じではありません。,キリンの地肌は、黒みがかった肌色です。なので、地肌と体の模様の色が同じではありません。,クマ（ツキノワグマやヒグマ）の地肌は、黒色です。なので、地肌と体の模様の色が同じではありません。
